System ID,UPC,EAN,Custom SKU,Manufacturer SKU,Default Vendor ID,Description,Default Vendor,Item Type,Tax Class,Brand,Top Level Category,Default Cost,Price,Archived (Yes / No),Category,Quantity on Hand,Lifetime Quantity Sold,# of Sales
,710845614071,710845614071,,,,Avid Spare - Rim Brake Spare Part Shorty Straddle Wire D - 2009-2016:  ,Zyrofisher,,,,,,,,,,,
,710845656224,710845656224,,,,Avid Spare - Rim Brake Spare Part Arm Spring Kit - Shorty Ultimate Black(L/R):  ,Zyrofisher,,,,,,,,,,,
,710845656248,710845656248,,,,Avid Spare - Rim Brake Spare Part Cable Anchor & Bolt - Shorty Ultimate Black:  ,Zyrofisher,,,,,,,,,,,
,710845602511,710845602511,,,,Avid Spare - Disc Brake Service Caliper Pad Retainer BB7/ALL Juicy Qty 2:  ,Zyrofisher,,,,,,,,,,,
,710845656262,710845656262,,,,Avid Spare - Rim Brake Spare Part Barrel Adjuster & Barrel - Shorty Ultimate Black:  ,Zyrofisher,,,,,,,,,,,
,710845656286,710845656286,,,,Avid Spare - Rim Brake Spare Part Cable Yoke - Shorty Ultimate:  ,Zyrofisher,,,,,,,,,,,
,710845727511,710845727511,,,,Avid Spare - Disc Brake Service Caliper Bleed Block Guide/Trail:  ,Zyrofisher,,,,,,,,,,,
,710845616464,710845616464,,,,Avid Spare - Disc Brake Service Caliper Bleed Block Elixir/DB:  ,Zyrofisher,,,,,,,,,,,
,710845602481,710845602481,,,,Avid Spare - Disc Brake Spare Lever Reservoir Bleed Screw/O-Ring Stainless Qty 20:  ,Zyrofisher,,,,,,,,,,,
,710845626234,710845626234,,,,"Avid Spare - Disc Brake Spare Elixir 5 Lever Blade Black/Pushrod Kit, Qty1:  ",Zyrofisher,,,,,,,,,,,
,710845655326,710845655326,,,,Avid Spare - Disc Brake Spare Lever Blade - Elixir 3 Qty 1:  ,Zyrofisher,,,,,,,,,,,
,710845681240,710845681240,,,,Avid Spare - Disc Brake Spare Lever Blade - Elixir 1 Qty 1:  ,Zyrofisher,,,,,,,,,,,
,710845740220,710845740220,,,,"Avid Spare - Disc Brake Spare Lever Blade Kit Aluminium Qty 1 - Elixir 9 9 Trail 7 7 Trail, Code-R:  ",Zyrofisher,,,,,,,,,,,
,710845626258,710845626258,,,,"Avid Spare - Disc Brake Spare Lever Split Clamp Kit Black - Elixir 5/3,DB 3/1/Level T Qty 1 (Steel Hardware):  ",Zyrofisher,,,,,,,,,,,
,710845622892,710845622892,,,,"Avid Spare - Rim Brake Spare Part Barrel Adjuster FR5/SD7 Lever, Qty 2:  ",Zyrofisher,,,,,,,,,,,
,710845613371,710845613371,,,,"Avid Spare - Disc Brake Spare Lever Elixir Split Clamp Kit Onyx, Qty 1 (Steel Hardware):  ",Zyrofisher,,,,,,,,,,,
,765250001237,765250001237,,,,"Avid Spare - Disc Brake Spare Parts Caliper Juicy 3 Pressure Foot Kit, Qty 1:  ",Zyrofisher,,,,,,,,,,,
,765250001244,765250001244,,,,"Avid Spare - Disc Brake Service Caliper Juicy 3 Caliper Service Kit, Qty1:  ",Zyrofisher,,,,,,,,,,,
