System ID,UPC,EAN,Custom SKU,Manufacturer SKU,Default Vendor ID,Description,Default Vendor,Item Type,Tax Class,Brand,Top Level Category,Default Cost,Price,Archived (Yes / No),Category,Quantity on Hand,Lifetime Quantity Sold,# of Sales
,040361015343,040361015343,,,,AMS FRAME GUARD EXTRA RONIN BLACK,Extra UK,,,All Mountain Style,,,37,,AMS FRAME GUARDS,,,
,8437021969535,8437021969535,,,,AMS FRAME GUARD EXTRA SIGNATURE BLACK,Extra UK,,,All Mountain Style,,,37,,AMS FRAME GUARDS,,,
,8437021969542,8437021969542,,,,AMS FRAME GUARD EXTRA SIGNATURE WHITE,Extra UK,,,All Mountain Style,,,37,,AMS FRAME GUARDS,,,
,8437021969870,8437021969870,,,,AMS FRAME GUARD EXTRA TORNADO BLACK,Extra UK,,,All Mountain Style,,,37,,AMS FRAME GUARDS,,,
,8437021969887,8437021969887,,,,AMS FRAME GUARD EXTRA TORNADO WHITE,Extra UK,,,All Mountain Style,,,37,,AMS FRAME GUARDS,,,
,8437021969986,8437021969986,,,,AMS FRAME GUARD EXTRA TRACKS BLACK,Extra UK,,,All Mountain Style,,,37,,AMS FRAME GUARDS,,,
,8437021969993,8437021969993,,,,AMS FRAME GUARD EXTRA TRACKS WHITE,Extra UK,,,All Mountain Style,,,37,,AMS FRAME GUARDS,,,
,797822098826,797822098826,,,,AMS FRAME GUARD EXTRA APE WHITE,Extra UK,,,All Mountain Style,,,37,,AMS FRAME GUARDS,,,
,040361015626,040361015626,,,,AMS FRAME GUARD EXTRA BEAR WHITE,Extra UK,,,All Mountain Style,,,37,,AMS FRAME GUARDS,,,
,040361015459,040361015459,,,,AMS FRAME GUARD EXTRA CAMO WHITE,Extra UK,,,All Mountain Style,,,37,,AMS FRAME GUARDS,,,
,040361015404,040361015404,,,,AMS FRAME GUARD EXTRA MAZE WHITE,Extra UK,,,All Mountain Style,,,37,,AMS FRAME GUARDS,,,
,040361015398,040361015398,,,,AMS FRAME GUARD EXTRA MAORI WHITE,Extra UK,,,All Mountain Style,,,37,,AMS FRAME GUARDS,,,
,040361015619,040361015619,,,,AMS FRAME GUARD EXTRA RONIN WHITE,Extra UK,,,All Mountain Style,,,37,,AMS FRAME GUARDS,,,
,797822098833,797822098833,,,,AMS FRAME GUARD EXTRA WOLF WHITE,Extra UK,,,All Mountain Style,,,37,,AMS FRAME GUARDS,,,
