System ID,UPC,EAN,Custom SKU,Manufacturer SKU,Default Vendor ID,Description,Default Vendor,Item Type,Tax Class,Brand,Top Level Category,Default Cost,Price,Archived (Yes / No),Category,Quantity on Hand,Lifetime Quantity Sold,# of Sales
,,,,,,KITSUMA - PISTON GUIDE SLEEVE,Extra UK,,,Cane Creek,,,12.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA COIL - ADJUSTMENT NUT,Extra UK,,,Cane Creek,,,21.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA COIL - SHAFT NYLOCK NUT,Extra UK,,,Cane Creek,,,3.49,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - IFP BLADDER,Extra UK,,,Cane Creek,,,10.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA COIL - OUTER DAMPER TUBE - 230,Extra UK,,,Cane Creek,,,24.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA COIL - OUTER DAMPER TUBE - 250,Extra UK,,,Cane Creek,,,24.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - LS DETENT SPRING,Extra UK,,,Cane Creek,,,2.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - O-RING 13.0x2.00 - NBR,Extra UK,,,Cane Creek,,,2.49,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,"KITSUMA - O-RING 1.8 x 1.2, NBR 70D",Extra UK,,,Cane Creek,,,2.49,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - THRUST SHIM 8x10x0.25,Extra UK,,,Cane Creek,,,2.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - HS POPPET,Extra UK,,,Cane Creek,,,6.49,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - VALVE SEAT 6.75mm,Extra UK,,,Cane Creek,,,8.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - CS VALVE,Extra UK,,,Cane Creek,,,8.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - CS SHIM - 2.3x7.5x0.15,Extra UK,,,Cane Creek,,,2.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - SNAP RING HS LIMIT,Extra UK,,,Cane Creek,,,1.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - VALVE SEAT LOW SPEED,Extra UK,,,Cane Creek,,,6.49,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - LOW SPEED NEEDLE,Extra UK,,,Cane Creek,,,6.49,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - O-RING 5.5x1.5 LS SEAL,Extra UK,,,Cane Creek,,,2.49,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - ADJUSTER LSC,Extra UK,,,Cane Creek,,,13.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - ADJUSTER LSR,Extra UK,,,Cane Creek,,,13.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - O-RING 8.5x1.5 LS RETAINER,Extra UK,,,Cane Creek,,,2.49,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - ADJUSTER BOLT M3,Extra UK,,,Cane Creek,,,4.49,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - CS CHECK PIN,Extra UK,,,Cane Creek,,,2.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - E-CLIP CS CHECK ,Extra UK,,,Cane Creek,,,2.49,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - CS SWITCH,Extra UK,,,Cane Creek,,,17.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - POPPET SHIM 4x9x0.15,Extra UK,,,Cane Creek,,,1.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - POPPET E-CLIP ,Extra UK,,,Cane Creek,,,1.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - O-RING 4.7 x 1.42 HNBR,Extra UK,,,Cane Creek,,,2.49,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - O-RING 010 CS SWITCH,Extra UK,,,Cane Creek,,,1.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - LS BACKUP RING,Extra UK,,,Cane Creek,,,2.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - ADJUSTER HSC,Extra UK,,,Cane Creek,,,12.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - ADJUSTER HSR,Extra UK,,,Cane Creek,,,12.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - HIGH SPEED 2 ADJUSTER,Extra UK,,,Cane Creek,,,6.49,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - HIGH SPEED 2 CAP M20x1,Extra UK,,,Cane Creek,,,12.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - O-RING HS KNOB 12.1x1.6,Extra UK,,,Cane Creek,,,1.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - SPRING SHUTTLE,Extra UK,,,Cane Creek,,,7.49,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA AIR - END EYE,Extra UK,,,Cane Creek,,,39.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - O-RING 6.4x1.9,Extra UK,,,Cane Creek,,,2.49,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
