SKU,StyleCode,Name,UPC,SRP,Colour,Size,BoxQuantity,ProductCategory,Brand,GoldPrice,Currency,Supplier
TQENETORQBOTTLE6,TQENETORQBOTTLE6,"TORQ Energy 750ml Bottle Sample Pack - 6 Drinks (5 x Standard, 1 x Caffeinated):  750ML",5.06012E+12,13.95,NO COLOUR,750ML,1 box = 6 units,Energy & Recovery Food & Drink,TORQ,8.43,GBP,Zyrofisher (Box)
TQHYDTORQBOTTLE8,TQHYDTORQBOTTLE8,TORQ Hydration 500ml Bottle Sample Pack - 8 Drinks (2 x 4 Flavours):  500ML,5.06012E+12,13.95,NO COLOUR,500ML,1 box = 8 units,Energy & Recovery Food & Drink,TORQ,8.43,GBP,Zyrofisher (Box)
TQNBORGMA,TQBARORGN,TORQ Organic Energy Bar (15x 45g): JUICY MANGO ,5.06012E+12,2.55,JUICY MANGO,NO SIZE,1 box = 15 units,Energy & Recovery Food & Drink,TORQ,23.11,GBP,Zyrofisher (Box)
TQNBORGSB,TQBARORGN,TORQ Organic Energy Bar (15x 45g): SUNDRIED BANANA ,5.06012E+12,2.55,SUNDRIED BANANA,NO SIZE,1 box = 15 units,Energy & Recovery Food & Drink,TORQ,23.11,GBP,Zyrofisher (Box)
TQNBORGZA,TQBARORGN,TORQ Organic Energy Bar (15x 45g): ZINGY APPLE ,5.06012E+12,2.55,ZINGY APPLE,NO SIZE,1 box = 15 units,Energy & Recovery Food & Drink,TORQ,23.11,GBP,Zyrofisher (Box)
TQNBORGZO,TQBARORGN,TORQ Organic Energy Bar (15x 45g): ZESTY ORANGE ,5.06012E+12,2.55,ZESTY ORANGE,NO SIZE,1 box = 15 units,Energy & Recovery Food & Drink,TORQ,23.11,GBP,Zyrofisher (Box)
TQNCFCOL,TQGELNG,TORQ Energy Gel With Guarana - Caffeinated (15x 45g): COLA WITH GUARANA ,5.06012E+12,2.4,COLA WITH GUARANA,NO SIZE,1 box = 15 units,Energy & Recovery Food & Drink,TORQ,26.1,GBP,Zyrofisher (Box)
TQNGAC,TQGELN,TORQ Energy Gel (15x 45g): APPLE CRUMBLE ,5.06012E+12,2.2,APPLE CRUMBLE,NO SIZE,1 box = 15 units,Energy & Recovery Food & Drink,TORQ,23.93,GBP,Zyrofisher (Box)
TQNGBAG,TQGELNG,TORQ Energy Gel With Guarana - Caffeinated (15x 45g): BANOFFEE WITH GUARANA ,5.06012E+12,2.4,BANOFFEE WITH GUARAN,NO SIZE,1 box = 15 units,Energy & Recovery Food & Drink,TORQ,26.1,GBP,Zyrofisher (Box)
TQNGCB,TQGELN,TORQ Energy Gel (15x 45g): CHERRY BAKEWELL ,5.06012E+12,2.2,CHERRY BAKEWELL,NO SIZE,1 box = 15 units,Energy & Recovery Food & Drink,TORQ,23.93,GBP,Zyrofisher (Box)
TQNGCLG,TQGELNG,TORQ Energy Gel With Guarana - Caffeinated (15x 45g): CARAMEL LATTE WITH GUARANA ,5.06012E+12,2.4,CARAMEL LATTE WITH G,NO SIZE,1 box = 15 units,Energy & Recovery Food & Drink,TORQ,26.1,GBP,Zyrofisher (Box)
TQNGCY,TQGELN,TORQ Energy Gel (15x 45g): BLACK CHERRY YOGHURT ,5.06012E+12,2.2,BLACK CHERRY YOGHURT,NO SIZE,1 box = 15 units,Energy & Recovery Food & Drink,TORQ,23.93,GBP,Zyrofisher (Box)
TQNGFFG,TQGELNG,TORQ Energy Gel With Guarana - Caffeinated (15x 45g): FOREST FRUITS WITH GUARANA ,5.06012E+12,2.4,FOREST FRUITS WITH G,NO SIZE,1 box = 15 units,Energy & Recovery Food & Drink,TORQ,26.1,GBP,Zyrofisher (Box)
TQNGLD,TQGELN,TORQ Energy Gel (15x 45g): LEMON DRIZZLE ,5.06012E+12,2.2,LEMON DRIZZLE,NO SIZE,1 box = 15 units,Energy & Recovery Food & Drink,TORQ,23.93,GBP,Zyrofisher (Box)
TQNGOB,TQGELN,TORQ Energy Gel (15x 45g): ORANGE & BANANA ,5.06012E+12,2.2,ORANGE & BANANA,NO SIZE,1 box = 15 units,Energy & Recovery Food & Drink,TORQ,23.93,GBP,Zyrofisher (Box)
TQNGRC,TQGELN,TORQ Energy Gel (15x 45g): RHUBARB & CUSTARD ,5.06012E+12,2.2,RHUBARB & CUSTARD,NO SIZE,1 box = 15 units,Energy & Recovery Food & Drink,TORQ,23.93,GBP,Zyrofisher (Box)
TQNGRR,TQGELN,TORQ Energy Gel (15x 45g): RASPBERRY RIPPLE ,5.06012E+12,2.2,RASPBERRY RIPPLE,NO SIZE,1 box = 15 units,Energy & Recovery Food & Drink,TORQ,23.93,GBP,Zyrofisher (Box)
TQNGSAM12,TQNGSAM12,TORQ Gel Taster Pack - 12 Flavours [8 Regular/4 Natural Caffeine]:  ,5.06012E+12,26.95,NO COLOUR,NO SIZE,1 pack = 12 units,Energy & Recovery Food & Drink,TORQ,19.54,GBP,Zyrofisher (Box)
TQNGSAM6,TQNGSAM6,TORQ Gel Taster Pack - 6 Flavours:  ,5.06012E+12,12.95,NO COLOUR,NO SIZE,1 box = 6 units,Energy & Recovery Food & Drink,TORQ,9.39,GBP,Zyrofisher (Box)
TQNGSY,TQGELN,TORQ Energy Gel (15x 45g): STRAWBERRY YOGHURT ,5.06012E+12,2.2,STRAWBERRY YOGHURT,NO SIZE,1 box = 15 units,Energy & Recovery Food & Drink,TORQ,23.93,GBP,Zyrofisher (Box)
