Product Category,Product Group,Product Brand,Product Model,Product Type,Product Colour,Product Size,Short Description,Unit,Trade Price (Â£),Qty Price (Â£),Retail Price (Â£),Quantity Break,Barcode,Commodity Code,Product Name,Manufacturer Part Code,IDPartnumber,Supplier
Wheels,"Wheels - 20"" & BMX",Halo,EX-3 Front,"3/8"", Double Wall rim on MXR Front BMX Hub, Blk DB Spokes, 32H",Black,"20x1.5""","HALO EX-3 Ft WHL 20"" BLACK",Each,62.85,59.71,109.99,2,5051699036646,8714999019,"EX3 Expert BMX Race 20"" Wheels",WHHAE0FK,WHHAE0FK,Ison
Wheels,"Wheels - 20"" & BMX",Halo,EX-3 Rear Cassettte,"3/8"", Double Wall rim on MXR Supadrive Cassette Hub, Blk DB Spokes, 32H",Black,"20x1.5""","HALO EX-3 Rr WHL CASS 20"" BLK",Each,154.28,146.57,269.99,2,5051699036653,8714999019,"EX3 Expert BMX Race 20"" Wheels",WHHAE0RK,WHHAE0RK,Ison
Wheels,Wheels - 700c Track,Halo,Evaura Track Rear,"22mm deep, 24mm wide, Tubeless ready, Anodised CNC brake surface, SB 120mm hub, Fixed/Freewheel, 32H",Silver,700c,HALO EVAURA TRACK WHL Rr FW SILVER,Each,94.28,89.57,164.99,2,5051699068760,8714999019,Evaura Track 700c Wheels,WHHAETSD,WHHAETSD,Ison
Wheels,Wheels - 700c Track,Halo,Evaura Track Front,"22mm deep, 24mm wide, Tubeless ready, Anodised CNC brake surface, SB 100mm Front hub, 32H",Silver,700c,HALO EVAURA TRACK WHL Ft SILVER,Each,91.42,86.85,159.99,2,5051699068777,8714999019,Evaura Track 700c Wheels,WHHAETSF,WHHAETSF,Ison
Wheels,Wheels - 700c Track,Halo,Evaura Track Rear,"22mm deep, 24mm wide, Tubeless ready, Anodised CNC brake surface, SB 120mm hub, Fixed/Freewheel, 32H",Stealth Black,700c,HALO EVAURA TRACK WHL Rr FW STLTH BLK,Each,94.28,89.57,164.99,2,5051699068784,8714999019,Evaura Track 700c Wheels,WHHAETZD,WHHAETZD,Ison
Wheels,Wheels - 700c Track,Halo,Evaura Track Front,"22mm deep, 24mm wide, Tubeless ready, Anodised CNC brake surface, SB 100mm Front hub, 32H",Stealth Black,700c,HALO EVAURA TRACK WHL Ft STLTH BLK,Each,91.42,86.85,159.99,2,5051699068791,8714999019,Evaura Track 700c Wheels,WHHAETZF,WHHAETZF,Ison
Wheels,Wheels - 700c Road,Halo,Evaura RS2 Front Race,"24mm wide road rim on Halo SL SB hub,20H",Black,700c,HALO EVAURA RS2 Ft WHL BLACK,Each,88.57,84.14,154.99,2,5051699071852,8714999019,Evaura RS2 700c Wheels,WHHAEV2KF,WHHAEV2KF,Ison
Wheels,Wheels - 700c Road,Halo,Evaura RS2 Rear Race,"24mm wide road rim on Halo SL SB hub, 16/8E 11sp Campag",Black,700c,HALO EVAURA RS2 Rr WHL CAMP BLACK,Each,157.14,149.28,274.99,2,5051699071869,8714999019,Evaura RS2 700c Wheels,WHHAEV2KRC,WHHAEV2KRC,Ison
Wheels,Wheels - 700c Road,Halo,Evaura RS2 Rear Race,"24mm wide road rim on Halo SL SB hub, 16/8E 11sp Shimano",Black,700c,HALO EVAURA RS2 Rr WHL HG BLACK,Each,157.14,149.28,274.99,2,5051699071876,8714999019,Evaura RS2 700c Wheels,WHHAEV2KRS,WHHAEV2KRS,Ison
Wheels,Wheels - 700c Road,Halo,Evaura RS2 Rear Race,"24mm wide road rim on Halo SL SB hub, 16/8E SRAM XD-R",Black,700c,HALO EVAURA RS2 Rr WHL XD-R BLACK,Each,157.14,149.28,274.99,2,5051699071883,8714999019,Evaura RS2 700c Wheels,WHHAEV2KRX,WHHAEV2KRX,Ison
Wheels,Wheels - Dynamo ,Halo,Evaura Front Dynamo,"24mm wide road rim on SP-SV-9 Dynamo hub,20H",Black,700c,HALO EVAURA DYNO Ft WHL BLK,Each,148.57,141.14,259.99,2,5051699054855,8714999019,Evaura 6D 700c Dyno Wheel,WHHAEVKFD,WHHAEVKFD,Ison
Wheels,"Wheels - 20"" & BMX",Halo,EX-3 MXR 20x1.5 Front,"Double Wall rim on 3/8"" MXR Front BMX Hub, Blk DB Spokes, 28H",Black,"20x1.5"" (406)","HALO EX-3 MXR Ft WHL 20x1.5"" BLACK",Each,74.28,70.57,129.99,2,5051699066773,8714999019,"EX3 MX 20x1.5"" Front Wheel",WHHAEX0FK,WHHAEX0FK,Ison
Wheels,"Wheels - 20"" & BMX",Halo,EX-3 MXR 20x1.5 Rear Cassette,"Double Wall rim on 3/8"" MXR Supadrive Cassette Hub, Blk DB Spokes, 32H",Black,"20x1.5"" (406)","HALO EX-3 MXR Rr WHL CASS 20x1.5"" BLK",Each,171.42,162.85,299.99,2,5051699066780,8714999019,"EX3 MX 20x1.5"" Rear Wheels",WHHAEX0RCK,WHHAEX0RCK,Ison
Wheels,"Wheels - 20"" & BMX",Halo,EX-3 MXR 20x1.5 Rear Disc,"Double Wall rim on 3/8"" MXR Disc Supadrive Cassette Hub, Blk DB Spokes, 32H",Black,"20x1.5"" (406)","HALO EX-3 MXR Rr WHL DISC 20x1.5"" BLK",Each,171.42,162.85,299.99,2,5051699066797,8714999019,"EX3 MX 20x1.5"" Rear Wheels",WHHAEX0RDK,WHHAEX0RDK,Ison
Wheels,"Wheels - 20"" & BMX",Halo,EX-3 MXR 20x1.5 Rear Freewheel,"Double Wall rim on 3/8"" MXR Freewheel Hub, Blk DB Spokes, 32H",Black,"20x1.5"" (406)","HALO EX-3 MXR Rr WHL FW 20x1.5"" BLK",Each,85.71,81.42,149.99,2,5051699066803,8714999019,"EX3 MX 20x1.5"" Rear Wheels",WHHAEX0RWK,WHHAEX0RWK,Ison
Wheels,"Wheels - 20"" & BMX",Halo,EX-3 MXR 20x1 3/8 Front,"Double Wall rim on 3/8"" MXR Front BMX Hub, Blk DB Spokes, 28H",Black,"20x13/8"" (451)","HALO EX-3 MXR Ft WHL 20x13/8"" BLACK",Each,74.28,70.57,129.99,2,5051699073023,8714999019,"EX3 MX 20x1 3/8"" Front Wheel",WHHAEX1FK,WHHAEX1FK,Ison
Wheels,"Wheels - 20"" & BMX",Halo,EX-3 MXR 20x1 3/8 Rear Cassette,"Double Wall rim on 3/8"" MXR Supadrive Cassette Hub, Blk DB Spokes, 32H",Black,"20x13/8"" (451)","HALO EX-3 MXR Rr WHL CASS 20x13/8"" BLK",Each,171.42,162.85,299.99,2,5051699073030,8714999019,"EX3 20 x 1 3/8"" Rear Wheels",WHHAEX1RCK,WHHAEX1RCK,Ison
Wheels,"Wheels - 20"" & BMX",Halo,EX-3 MXR 20x1 3/8 Rear Disc,"Double Wall rim on 3/8"" MXR Disc Supadrive Cassette Hub, Blk DB Spokes, 32H",Black,"20x13/8"" (451)","HALO EX-3 MXR Rr WHL DISC 20x1/38"" BLK",Each,171.42,162.85,299.99,2,5051699073047,8714999019,"EX3 20 x 1 3/8"" Rear Wheels",WHHAEX1RDK,WHHAEX1RDK,Ison
Wheels,"Wheels - 20"" & BMX",Halo,EX-3 MXR 20x1 3/8 Rear Freewheel,"Double Wall rim on 3/8"" MXR Freewheel Hub, Blk DB Spokes, 32H",Black,"20x13/8"" (451)","HALO EX-3 MXR Rr WHL FW 20x13/8"" BLK",Each,85.71,81.42,149.99,2,5051699073054,8714999019,"EX3 20 x 1 3/8"" Rear Wheels",WHHAEX1RWK,WHHAEX1RWK,Ison
Wheels,"Wheels - 27.5"" (650b)",Halo,Gravitas 27.5 MT2 Boost Front,"MT2 Front 6B Disc Hub, 110x15 and 20mm inc, 32 Silver DB Spokes",Silver,"27.5""","HALO GRAVITAS 27.5""B110 Ft SILVER",Each,117.14,111.28,204.99,2,5051699075287,8714999019,Gravitas MT 27.5 Boost Wheels - Silver,WHHAGA7BS,WHHAGA7BS,Ison
Wheels,"Wheels - 27.5"" (650b)",Halo,Gravitas 27.5 MT2 Boost Front,"MT2 Front 6B Disc Hub, 110x15 and 20mm inc, 32 Black TB Spokes",Stealth Black,"27.5""","HALO GRAVITAS 27.5""B110 Ft STLTH",Each,117.14,111.28,204.99,2,5051699066636,8714999019,"Gravitas MT 27.5"" Boost Wheels - Black",WHHAGA7BZ,WHHAGA7BZ,Ison
Wheels,"Wheels - 27.5"" (650b)",Halo,Gravitas 27.5 MTC Boost Front,"MTC Front C-Lock Disc Hub, 110x15mm, 32 Black TB Spokes",Stealth Black,"27.5""","HALO GRAVITAS 27.5""MTC B110 Ft STLTH",Each,119.99,113.99,209.99,2,5051699066643,8714999019,"Gravitas MTC 27.5"" Wheels",WHHAGA7CZ,WHHAGA7CZ,Ison
Wheels,"Wheels - 27.5"" (650b)",Halo,Gravitas 27.5 MT Front,"MT Front 6B Disc Hub, 100x15mm and DH 110x20mm inc., 32 Black TB Spokes",Stealth Black,"27.5""","HALO GRAVITAS 27.5""MT Ft STLTH",Each,117.14,111.28,204.99,2,5051699066650,8714999019,"Gravitas MT 27.5"" Non-boost Wheels",WHHAGA7FZ,WHHAGA7FZ,Ison
Wheels,"Wheels - 27.5"" (650b)",Halo,Gravitas 27.5 MTC Boost HG,"MTC Supadrive C-lock Disc Hub, 12x148mm, Shimano HG, 32 Black TB Spokes",Stealth Black,"27.5""","HALO GRAVITAS 27.5""MTC148 HG Rr STLTH",Each,188.57,179.14,329.99,2,5051699066667,8714999019,"Gravitas MTC 27.5"" Wheels",WHHAGA7MZH,WHHAGA7MZH,Ison
Wheels,"Wheels - 27.5"" (650b)",Halo,Gravitas 27.5 MTC Boost XD,"MTC Supadrive C-lock Disc Hub, 12x148mm, SRAM XD freehub, 32 Black TB Spokes",Stealth Black,"27.5""","HALO GRAVITAS 27.5""MTC148 XD Rr STLTH",Each,188.57,179.14,329.99,2,5051699066681,8714999019,"Gravitas MTC 27.5"" Wheels",WHHAGA7MZX,WHHAGA7MZX,Ison
Wheels,"Wheels - 27.5"" (650b)",Halo,Gravitas 27.5 MT HG,"MT Supadrive 6B Disc Hub, 12x142Thru, Shimano HG, 32 Black TB Spokes",Stealth Black,"27.5""","HALO GRAVITAS 27.5""SDV HG Rr STLTH",Each,185.71,176.42,324.99,2,5051699066698,8714999019,"Gravitas MT 27.5"" Non-boost Wheels",WHHAGA7SZH,WHHAGA7SZH,Ison
Wheels,"Wheels - 27.5"" (650b)",Halo,Gravitas 27.5 MT XD,"MT Supadrive 6B Disc Hub, 12x142Thru, SRAM XD, 32 Black TB Spokes",Stealth Black,"27.5""","HALO GRAVITAS 27.5""SDV XD Rr STLTH",Each,185.71,176.42,324.99,2,5051699066704,8714999019,"Gravitas MT 27.5"" Non-boost Wheels",WHHAGA7SZX,WHHAGA7SZX,Ison
Wheels,"Wheels - 27.5"" (650b)",Halo,Gravitas 27.5 MT Boost HG,"MT Supadrive 6B Disc Hub, 12x148mm, Shimano HG, 32 Silver DB Spokes",Silver,"27.5""","HALO GRAVITAS 27.5""SDV148 HG Rr SILVER",Each,185.71,176.42,324.99,2,5051699075294,8714999019,Gravitas MT 27.5 Boost Wheels - Silver,WHHAGA7VSH,WHHAGA7VSH,Ison
Wheels,"Wheels - 27.5"" (650b)",Halo,Gravitas 27.5 MT Boost MS,"MT Supadrive 6B Disc Hub, 12x148mm, Shimano MS, 32 Silver DB Spokes",Silver,"27.5""","HALO GRAVITAS 27.5""SDV148 MS Rr SILVER",Each,185.71,176.42,324.99,2,5051699075300,8714999019,Gravitas MT 27.5 Boost Wheels - Silver,WHHAGA7VSM,WHHAGA7VSM,Ison
Wheels,"Wheels - 27.5"" (650b)",Halo,Gravitas 27.5 MT Boost XD,"MT Supadrive 6B Disc Hub, 12x148mm, SRAM XD, 32 Silver DB Spokes",Silver,"27.5""","HALO GRAVITAS 27.5""SDV148 XD Rr SILVER",Each,185.71,176.42,324.99,2,5051699075317,8714999019,Gravitas MT 27.5 Boost Wheels - Silver,WHHAGA7VSX,WHHAGA7VSX,Ison
Wheels,"Wheels - 29""",Halo,Gravitas 29 MT2 Boost Front,"MT2 Front 6B Disc Hub, 110x15 and 20mm inc, 32 Silver DB Spokes",Silver,"29""","HALO GRAVITAS 29"" B110 Ft SILVER",Each,117.14,111.28,204.99,2,5051699075201,8714999019,"Gravitas MT 29"" Boost Wheels - Silver",WHHAGA9BS,WHHAGA9BS,Ison
Wheels,"Wheels - 29""",Halo,Gravitas 29 MT Front,"MT Front 6B Disc Hub, 100x15mm and DH 110x20mm inc., 32 Black TB Spokes",Stealth Black,"29""","HALO GRAVITAS 29"" MT Ft STLTH",Each,117.14,111.28,204.99,2,5051699066513,8714999019,"Gravitas MT 29"" Non-boost Wheels",WHHAGA9FZ,WHHAGA9FZ,Ison
Wheels,"Wheels - 29""",Halo,Gravitas 29 MTC Boost HG,"MTC Supadrive C-lock Disc Hub, 12x148mm, Shimano HG, 32 Black TB Spokes",Stealth Black,"29""","HALO GRAVITAS 29""MTC148 HG Rr STLTH",Each,188.57,179.14,329.99,2,5051699066520,8714999019,"Gravitas MTC 29"" Wheels",WHHAGA9MZH,WHHAGA9MZH,Ison
Wheels,"Wheels - 29""",Halo,Gravitas 29 MTC Boost MS,"MTC Supadrive C-lock Disc Hub, 12x148mm, Shimano MicroSpline, 32 Black TB Spokes",Stealth Black,"29""","HALO GRAVITAS 29""MTC148 MS Rr STLTH",Each,188.57,179.14,329.99,2,5051699066537,8714999019,"Gravitas MTC 29"" Wheels",WHHAGA9MZM,WHHAGA9MZM,Ison
Wheels,"Wheels - 29""",Halo,Gravitas 29 MTC Boost XD,"MTC Supadrive C-lock Disc Hub, 12x148mm, SRAM XD freehub, 32 Black TB Spokes",Stealth Black,"29""","HALO GRAVITAS 29""MTC148 XD Rr STLTH",Each,188.57,179.14,329.99,2,5051699066544,8714999019,"Gravitas MTC 29"" Wheels",WHHAGA9MZX,WHHAGA9MZX,Ison
Wheels,"Wheels - 29""",Halo,Gravitas 29 MT XD,"MT Supadrive 6B Disc Hub, 12x142mm Thru inc., SRAM XD, 32 Black TB Spokes",Stealth Black,"29""","HALO GRAVITAS 29""SDV XD Rr STLTH",Each,185.71,176.42,324.99,2,5051699066568,8714999019,"Gravitas MT 29"" Non-boost Wheels",WHHAGA9SZX,WHHAGA9SZX,Ison
Wheels,"Wheels - 29""",Halo,Gravitas 29 MT Boost HG,"MT Supadrive 6B Disc Hub, 12x148mm, Shimano HG, 32 Silver DB Spokes",Silver,"29""","HALO GRAVITAS 29""SDV148 HG Rr SILVER",Each,185.71,176.42,324.99,2,5051699075218,8714999019,"Gravitas MT 29"" Boost Wheels - Silver",WHHAGA9VSH,WHHAGA9VSH,Ison
Wheels,"Wheels - 29""",Halo,Gravitas 29 MT Boost MS,"MT Supadrive 6B Disc Hub, 12x148mm, Shimano MS, 32 Silver DB Spokes",Silver,"29""","HALO GRAVITAS 29""SDV148 MS Rr SILVER",Each,185.71,176.42,324.99,2,5051699075225,8714999019,"Gravitas MT 29"" Boost Wheels - Silver",WHHAGA9VSM,WHHAGA9VSM,Ison
Wheels,"Wheels - 29""",Halo,Gravitas 29 MT Boost XD,"MT Supadrive 6B Disc Hub, 12x148mm, SRAM XD, 32 Silver DB Spokes",Silver,"29""","HALO GRAVITAS 29""SDV148 XD Rr SILVER",Each,185.71,176.42,324.99,2,5051699075232,8714999019,"Gravitas MT 29"" Boost Wheels - Silver",WHHAGA9VSX,WHHAGA9VSX,Ison
Wheels,"Wheels - 26""",Halo,Chaos 26 DJ Wide Boy,"Wide Boy non-disc BLACK hub,15x100mm, 32H, Black DB spokes",Black,"26""","HALO CHAOS WHL WBOY Ft 26""BLK",Each,105.71,100.42,184.99,2,5051699057375,8714999019,"Chaos Dirt Jump 26"" Wheels",WHHAH6FBK,WHHAH6FBK,Ison
Wheels,"Wheels - 26""",Halo,Chaos 26 MT Front,"MT Front Hub,32H (15mm Ft), Black DB Spokes",Black,"26""","HALO CHAOS WHL SD Ft 26""BLK",Each,105.71,100.42,184.99,2,5051699027835,8714999019,"Chaos Downhill/Enduro 26"" Wheels",WHHAH6FK,WHHAH6FK,Ison
Wheels,"Wheels - 26""",Halo,Chaos 26 DJD BD Rear,"DJD BD SS BLACK Disc Hub 3/8""/14mm, 32H. Blk DB Spokes, Cog NOT Included",Black,"26""","HALO CHAOS WHL DJD BD Rr 26""BLK",Each,145.71,138.42,254.99,2,5051699058266,8714999019,"Chaos Dirt Jump 26"" Wheels",WHHAH6JBK,WHHAH6JBK,Ison
Wheels,"Wheels - 26""",Halo,Chaos 26 DJD Supadrive Rear,"DJD Supadrive SS BLACK Disc Hub 3/8""/14mm, 32H. Blk DB Spokes, Cog NOT included",Black,"26""","HALO CHAOS WHL DJD SDV Rr 26""BLK",Each,185.71,176.42,324.99,2,5051699057382,8714999019,"Chaos Dirt Jump 26"" Wheels",WHHAH6JVK,WHHAH6JVK,Ison
Wheels,"Wheels - 26""",Halo,Chaos 26 MT-SS MantraDrive Rear,"MT-SS MantraDrive SS BLACK Disc Hub 135mm 3/8"", 32H. Blk DB Spokes, Cog NOT included",Black,"26""","HALO CHAOS WHL MT-SS MDV 135 Rr 26""BLK",Each,188.57,179.14,329.99,2,5051699075423,8714999019,"Chaos Dirt Jump 26"" Wheels",WHHAH6MTK,WHHAH6MTK,Ison
Wheels,"Wheels - 26""",Halo,Chaos 26 MT-SS MantraDrive Rear,"MT-SS MantraDrive SS BLACK Disc Hub 12x142mm, 32H. Blk DB Spokes, Cog NOT included",Black,"26""","HALO CHAOS WHL MT-SS MDV 12x142 Rr 26""BLK",Each,188.57,179.14,329.99,2,5051699075430,8714999019,"Chaos Dirt Jump 26"" Wheels",WHHAH6MXK,WHHAH6MXK,Ison
Wheels,"Wheels - 26""",Halo,Chaos 26 DJ Wheelset,"Wide Boy non-disc Grey front hub,15x100mm, MT-SS 10x135 Rear hub,32H, SIlver DB spokes",Grey,"26""","HALO CHAOS WHLS WB/MTSS 26"" GREY",Pair,285.71,271.42,499.99,2,5051699072231,8714999019,"Chaos Grey Team Edition 26"" Wheelset",WHHAH6PBSX,WHHAH6PBSX,Ison
Wheels,"Wheels - 26""",Halo,Chaos 26 MT Supadrive Boost,"MT Supadrive Boost 12x148 SB Disc Hub, 32H, HG, Black DB Spokes",Black,"26""","HALO CHAOS WHL SDV148 Rr 26""BLK HG",Each,177.14,168.28,309.99,2,5051699072651,8714999019,"Chaos 26"" Boost Wheels",WHHAH6VKH,WHHAH6VKH,Ison
Wheels,"Wheels - 26""",Halo,Chaos 26 MT Supadrive Boost,"MT Supadrive Boost 12x148 SB Disc Hub, 32H, MicroSpline, Black DB Spokes",Black,"26""","HALO CHAOS WHL SDV148 Rr 26""BLK MS",Each,177.14,168.28,309.99,2,5051699072668,8714999019,"Chaos 26"" Boost Wheels",WHHAH6VKM,WHHAH6VKM,Ison
Wheels,"Wheels - 26""",Halo,Chaos 26 MT Supadrive Boost,"MT Supadrive Boost 12x148 SB Disc Hub, 32H, XD, Black DB Spokes",Black,"26""","HALO CHAOS WHL SDV148 Rr 26""BLK XD",Each,177.14,168.28,309.99,2,5051699072675,8714999019,"Chaos 26"" Boost Wheels",WHHAH6VKX,WHHAH6VKX,Ison
Wheels,"Wheels - 27.5"" (650b)",Halo,"Chaos 27.5"" MT Front","MT Front Disc Hub,32H (15mm Ft), Black DB Spokes",Black,"27.5""","HALO CHAOS WHL SD Ft 27.5""BLK",Each,105.71,100.42,184.99,2,5051699040858,8714999019,"Chaos Downhill/Enduro 27.5"" Non-boost Wheels",WHHAHBFK,WHHAHBFK,Ison
Wheels,"Wheels - 20"" & BMX",Halo,JX-2 MXR 20 Front,"Double Wall rim on MXR Front BMX Hub, Blk DB Spokes, 28H",Black,"20x11/8""","HALO JX-2 MXR Ft WHL 20x11/8"" BLACK",Each,74.28,70.57,129.99,2,5051699066810,8714999019,"JX2 Junior BMX Race 20 x 1 1/8"" Front Wheel",WHHAJX0FK,WHHAJX0FK,Ison
Wheels,"Wheels - 20"" & BMX",Halo,JX-2 MXR 20 Rear Cassette,"Double Wall rim on MXR Supadrive Cassette Hub, Blk DB Spokes, 32H",Black,"20x11/8""","HALO JX-2 MXR Rr WHL CASS 20x11/8"" BLK",Each,171.42,162.85,299.99,2,5051699066827,8714999019,"JX2 Junior BMX Race 20 x 1 1/8"" Rear Wheels",WHHAJX0RCK,WHHAJX0RCK,Ison
Wheels,"Wheels - 20"" & BMX",Halo,JX-2 MXR 20 Rear Disc,"Double Wall rim on MXR Supadrive Cassette Hub, Blk DB Spokes, 32H",Black,"20x11/8""","HALO JX-2 MXR Rr WHL DISC 20x11/8"" BLK",Each,171.42,162.85,299.99,2,5051699066834,8714999019,"JX2 Junior BMX Race 20 x 1 1/8"" Rear Wheels",WHHAJX0RDK,WHHAJX0RDK,Ison
Wheels,"Wheels - 20"" & BMX",Halo,JX-2 MXR 20 Rear Freewheel,"Double Wall rim on MXR Freewheel Hub, Blk DB Spokes, 32H",Black,"20x11/8""","HALO JX-2 MXR Rr WHL FW 20x11/8"" BLK",Each,85.71,81.42,149.99,2,5051699066841,8714999019,"JX2 Junior BMX Race 20 x 1 1/8"" Rear Wheels",WHHAJX0RWK,WHHAJX0RWK,Ison
Wheels,"Wheels - 24""",Halo,Skelta 24 MT2 Boost Front,"MT2 Front 6B Disc Hub, 110x15 and 20mm inc, 32 Black TB Spokes",Black,"24""","HALO SKELTA 24"" B110 Ft BLACK",Each,117.14,111.28,204.99,2,5051699074273,8714999019,Skelta MT2 Front 24 Boost Wheel,WHHAKA4BFK,WHHAKA4BFK,Ison
Wheels,"Wheels - 24""",Halo,Skelta 24 MT Boost HG,"MT Supadrive 6B Disc Hub, 12x148mm, Shimano HG, 32 Black TB Spokes",Black,"24""","HALO SKELTA 24""SDV148 HG Rr BLACK",Each,185.71,176.42,324.99,2,5051699074297,8714999019,"Skelta MT Rear 24"" Boost Wheel",WHHAKA4VKH,WHHAKA4VKH,Ison
Wheels,"Wheels - 24""",Halo,Skelta 24 MT Boost MS,"MT Supadrive 6B Disc Hub, 12x148mm, Shimano MS, 32 Black TB Spokes",Black,"24""","HALO SKELTA 24""SDV148 MS Rr BLACK",Each,185.71,176.42,324.99,2,5051699074303,8714999019,"Skelta MT Rear 24"" Boost Wheel",WHHAKA4VKM,WHHAKA4VKM,Ison
Wheels,"Wheels - 24""",Halo,Skelta 24 MT Boost XD,"MT Supadrive 6B Disc Hub, 12x148mm, SRAM XD, 32 Black TB Spokes",Black,"24""","HALO SKELTA 24""SDV148 XD Rr BLACK",Each,185.71,176.42,324.99,2,5051699074310,8714999019,"Skelta MT Rear 24"" Boost Wheel",WHHAKA4VKX,WHHAKA4VKX,Ison
Wheels,"Wheels - 26""",Halo,Skelta 26 MT2 Boost Front,"MT2 Front 6B Disc Hub, 110x15mm, 32 Black TB Spokes",Black,"26""","HALO SKELTA 26"" B110 Ft BLACK",Each,117.14,111.28,204.99,2,5051699074327,8714999019,"Skelta MT2 Front 26"" Boost Wheel",WHHAKA6BFK,WHHAKA6BFK,Ison
Wheels,"Wheels - 26""",Halo,Skelta 26 DJ Wide Boy,"Wide Boy non-disc BLACK hub,15x100mm, 32H, Black DB spokes",Black,"26""","HALO SKELTA WHL WBOY Ft 26""BLK",Each,105.71,100.42,184.99,2,5051699076550,8714999019,"Skelta Dirt Jump 26"" Wheels",WHHAKA6FWK,WHHAKA6FWK,Ison
Wheels,"Wheels - 26""",Halo,Skelta 26 DJ Wide Boy,"Wide Boy non-disc BLACK hub,15x100mm, 32H, Black DB spokes",Black/Purple,"26""","HALO SKELTA WHL WBOY Ft 26""BLK/PUR",Each,105.71,100.42,184.99,2,5051699077038,8714999019,"Skelta Dirt Jump 26"" Wheels - Purple Hubs",WHHAKA6FWU,WHHAKA6FWU,Ison
Wheels,"Wheels - 26""",Halo,Skelta 26 MT-SS MantraDrive Rear,"MT-SS MantraDrive SS BLACK Disc Hub 135mm 3/8"", 32H. Blk DB Spokes, Cog NOT included",Black,"26""","HALO SKELTA 26""MT-SS MDV135 HG Rr BLACK",Each,188.57,179.14,329.99,2,5051699076536,8714999019,"Skelta Dirt Jump 26"" Wheels",WHHAKA6MTK,WHHAKA6MTK,Ison
Wheels,"Wheels - 26""",Halo,Skelta 26 MT-SS MantraDrive Rear,"MT-SS MantraDrive SS BLACK Disc Hub 135mm 3/8"", 32H. Blk DB Spokes, Cog NOT included",Black/Purple,"26""","HALO SKELTA 26""MT-SS MDV148 HG Rr BLK/PUR",Each,188.57,179.14,329.99,2,5051699077045,8714999019,"Skelta Dirt Jump 26"" Wheels - Purple Hubs",WHHAKA6MTU,WHHAKA6MTU,Ison
Wheels,"Wheels - 26""",Halo,Skelta 26 MT-SS Boost HG,"MT-SS Mantradrive 6B Disc Hub, 12x148mm, Shimano HG, 32 Black TB Spokes",Black,"26""","HALO SKELTA 26""MT-SS MDV148 HG Rr BLACK",Each,188.57,179.14,329.99,2,5051699074334,8714999019,"Skelta MT 26"" MantraDrive 750 Boost MT-SS rear",WHHAKA6TKH,WHHAKA6TKH,Ison
Wheels,"Wheels - 26""",Halo,Skelta 26 MT Boost HG,"MT Supadrive 6B Disc Hub, 12x148mm, Shimano HG, 32 Black TB Spokes",Black,"26""","HALO SKELTA 26""SDV148 HG Rr BLACK",Each,185.71,176.42,324.99,2,5051699074341,8714999019,"Skelta MT Rear 26"" Boost Wheel",WHHAKA6VKH,WHHAKA6VKH,Ison
Wheels,"Wheels - 26""",Halo,Skelta 26 MT Boost MS,"MT Supadrive 6B Disc Hub, 12x148mm, Shimano MS, 32 Black TB Spokes",Black,"26""","HALO SKELTA 26""SDV148 MS Rr BLACK",Each,185.71,176.42,324.99,2,5051699074358,8714999019,"Skelta MT Rear 26"" Boost Wheel",WHHAKA6VKM,WHHAKA6VKM,Ison
Wheels,"Wheels - 26""",Halo,Skelta 26 MT Boost XD,"MT Supadrive 6B Disc Hub, 12x148mm, SRAM XD, 32 Black TB Spokes",Black,"26""","HALO SKELTA 26""SDV148 XD Rr BLACK",Each,185.71,176.42,324.99,2,5051699074365,8714999019,"Skelta MT Rear 26"" Boost Wheel",WHHAKA6VKX,WHHAKA6VKX,Ison
Wheels,"Wheels - 27.5"" (650b)",Halo,Skelta 27.5 MT2 Boost Front,"MT2 Front 6B Disc Hub, 110x15mm, 32 Black TB Spokes",Black,"27.5""","HALO SKELTA 27.5"" B110 Ft BLACK",Each,117.14,111.28,204.99,2,5051699074501,8714999019,"Skelta MT2 Front 27.5"" Boost Wheel",WHHAKA7BFK,WHHAKA7BFK,Ison
Wheels,"Wheels - 27.5"" (650b)",Halo,Skelta 27.5 MT-SS Boost HG,"MT-SS Mantradrive 6B Disc Hub, 12x148mm, Shimano HG, 32 Black TB Spokes",Black,"27.5""","HALO SKELTA 27.5""MT-SS MDV HG Rr BLACK",Each,185.71,176.42,324.99,2,5051699074525,8714999019,"Skelta MT 27.5"" MantraDrive 750 Boost MT-SS rear",WHHAKA7TKH,WHHAKA7TKH,Ison
Wheels,"Wheels - 27.5"" (650b)",Halo,Skelta 27.5 Superboost HG,"MT Supadrive 6B Disc hub, 150 and 157mm S-Boost inc, Shimano HG, 32 Black TB Spokes",Black,"27.5""","HALO SKELTA 27.5""SDV157 HG Rr BLACK",Each,185.71,176.42,324.99,2,5051699074549,8714999019,"Skelta MT 27.5"" Superboost/DH Rear Wheels",WHHAKA7UKH,WHHAKA7UKH,Ison
Wheels,"Wheels - 27.5"" (650b)",Halo,Skelta 27.5 Superboost MS,"MT Supadrive 6B Disc hub, 157mm S-Boost ONLY inc, Shimano MS, 32 Black TB Spokes",Black,"27.5""","HALO SKELTA 27.5""SDV157 MS Rr BLACK",Each,185.71,176.42,324.99,2,5051699074556,8714999019,"Skelta MT 27.5"" Superboost/DH Rear Wheels",WHHAKA7UKM,WHHAKA7UKM,Ison
