Product Category,Product Group,Product Brand,Product Model,Product Type,Product Colour,Product Size,Short Description,Unit,Trade Price (Â£),Qty Price (Â£),Retail Price (Â£),Quantity Break,Barcode,Commodity Code,Product Name,Manufacturer Part Code,IDPartnumber,Supplier
Hubs & Cassettes,Hub Spares,Rohloff,Speedhub E-14,TRP Hywire Adaptor Cable (DC-CAN Adaptor2-TRP Shifter),,E-14,ROHL.SPDHUB E-14 TRP HYWIRE ADAPTOR,Each,12.49,11.87,19.99,0,4250307411177,8714930090,E-14 Spares,8812,HURO8812,Ison
Hubs & Cassettes,Hub Spares,Rohloff,Speedhub E-14,"E-Bike Diagnostics Kit - BES2 (inc Switch Unit, Converter, Shifter Unit, Connection cable)",Black,BES2,ROHL.SPDHUB E-14 BES2 DIAGNOSTICS KIT,Each,406.25,385.94,650.00,0,4250307409495,8714930090,E-14 Spares,8815,HURO8815,Ison
Hubs & Cassettes,Hub Spares,Rohloff,Speedhub E-14,"E-Bike Diagnostics Kit - BES3 - Smart System (inc Switch Unit, Converter, Shifter Unit, Connection c",Black,BES3,ROHL.SPDHUB E-14 BES3 DIAGNOSTICS KIT,Each,406.25,385.94,650.00,0,4250307411252,8714930090,E-14 Spares,8815-04,HURO881504,Ison
Hubs & Cassettes,Hub Spares,Rohloff,Speedhub E-14,E-Bike Diagnostics Kit Upgrade from BES2 to BES3,Black,Upgrade Kit,ROHL.SPDHUB E-14 DIAGNOSTICS UPGRADE,Each,359.38,341.41,575.00,0,4250307411436,8714930090,E-14 Spares,8815-UP,HURO8815UP,Ison
Hubs & Cassettes,Hub Spares,Rohloff,Speedhub Disc Rotor Magnet,Disc Rotor Magnet to suit 2.0mm Rholoff Rotors,Black,2.0mm,ROHL.SPDHUB DISC ROTOR MAGNET 2.0mm BLK,Each,3.12,2.96,4.99,0,4250307409167,8714930090,Sensor Magnet,8817,HURO8817,Ison
Hubs & Cassettes,Hub Spares,Rohloff,Speedhub Disc Rotor Magnet,Disc Rotor Magnet to suit 1.8mm Rholoff Rotors,Grey,1.8mm,ROHL.SPDHUB DISC ROTOR MAGNET 1.8mm GRY,Each,3.12,2.96,4.99,0,4250307409174,8714930090,Sensor Magnet,8818,HURO8818,Ison
Hubs & Cassettes,Hub Spares,Rohloff,Speedhub Disc Rotor Magnet,Disc Rotor Magnet to suit 2.3mm Rholoff Rotors,Petrol Blue,2.3mm,ROHL.SPDHUB DISC ROTOR MAGNET 2.3mm BLU,Each,3.12,2.96,4.99,0,4250307409327,8714930090,Sensor Magnet,8819,HURO8819,Ison
Hubs & Cassettes,Hub Spares,Rohloff,Speedhub Ext Box Cog,Small cog fits behind axle plate on Speedhub,,Ext Box Cog,ROHL.SPDHUB AXLE PLATE COG,Each,4.72,4.72,8.49,0,0,8714930090,Shifting spares,SG01,HURO8G01,Ison
Hubs & Cassettes,Hub Spares,Rohloff,Speedhub Disc Rotor,Disc Rotor for Speedhub - 2.3mm thick - Suit cargo bikes,Silver,220mm,ROHL SPDHUB 2.3mm DISC ROTOR 220mm,Each,39.99,39.99,69.99,0,4250307409204,8714930090,Disc Brake Rotor,8280,HURODF220,Ison
Hubs & Cassettes,Hub Spares,Rohloff,Speedhub Disc Rotor,Disc Rotor for Speedhub - 2.0mm thick - Suit Magura brakes,Silver,160mm,ROHL SPDHUB 2.0mm DISC ROTOR 160mm,Each,34.28,34.28,59.99,0,4250307409075,8714930090,Disc Brake Rotor,8282,HURODM160,Ison
