System ID,UPC,EAN,Custom SKU,Manufacturer SKU,Default Vendor ID,Description,Default Vendor,Item Type,Tax Class,Brand,Top Level Category,Default Cost,Price,Archived (Yes / No),Category,Quantity on Hand,Lifetime Quantity Sold,# of Sales
,5051699015535,5051699015535,,,,Single Toe Straps,Ison,,,Genetic,,,,,Pedals,,,
,5051699015559,5051699015559,,,,Single Strap Toe Clip,Ison,,,Genetic,,,,,Pedals,,,
,5051699015597,5051699015597,,,,Single Strap Toe Clip,Ison,,,Genetic,,,,,Pedals,,,
,5051699070749,5051699070749,,,,Switch Pedal Spare Cleats,Ison,,,Genetic,,,,,Pedals,,,
,5051699024889,5051699024889,,,,Hyoid Alloy Quill Road Stem,Ison,,,Genetic,,,,,"Handlebars, Stems & Grips",,,
,5051699024896,5051699024896,,,,Hyoid Alloy Quill Road Stem,Ison,,,Genetic,,,,,"Handlebars, Stems & Grips",,,
,5051699050840,5051699050840,,,,STV Saddle,Ison,,,Genetic,,,,,Saddles,,,
,5051699038008,5051699038008,,,,Carbon Seatclamp,Ison,,,Genetic,,,,,Seatposts &  Clamps,,,
,5051699038015,5051699038015,,,,Carbon Seatclamp,Ison,,,Genetic,,,,,Seatposts &  Clamps,,,
,5051699015634,5051699015634,,,,Classic Seat Post Binder Bolt,Ison,,,Genetic,,,,,Seatposts &  Clamps,,,
,5051699015641,5051699015641,,,,Classic Seat Post Binder Bolt,Ison,,,Genetic,,,,,Seatposts &  Clamps,,,
,5051699015658,5051699015658,,,,Classic Seat Post Binder Bolt,Ison,,,Genetic,,,,,Seatposts &  Clamps,,,
,5051699024940,5051699024940,,,,Alloy Quill Stem Adaptor,Ison,,,Genetic,,,,,"Handlebars, Stems & Grips",,,
,5051699058525,5051699058525,,,,Heritage II Seatpost,Ison,,,Genetic,,,,,Seatposts &  Clamps,,,
,5051699058532,5051699058532,,,,Heritage II Seatpost,Ison,,,Genetic,,,,,Seatposts &  Clamps,,,
,5051699067756,5051699067756,,,,STV Seatpost,Ison,,,Genetic,,,,,Seatposts &  Clamps,,,
,5051699068203,5051699068203,,,,STV Seatpost,Ison,,,Genetic,,,,,Seatposts &  Clamps,,,
,5051699068210,5051699068210,,,,STV Seatpost,Ison,,,Genetic,,,,,Seatposts &  Clamps,,,
,5051699030347,5051699030347,,,,Magnum Stem,Ison,,,Gusset Components,,,,,"Handlebars, Stems & Grips",,,
,5051699016587,5051699016587,,,,Staff Stem - Black,Ison,,,Gusset Components,,,,,"Handlebars, Stems & Grips",,,
,5051699075157,5051699075157,,,,Staff Stem - Silver,Ison,,,Gusset Components,,,,,"Handlebars, Stems & Grips",,,
,5051699016594,5051699016594,,,,Staff Stem - Black,Ison,,,Gusset Components,,,,,"Handlebars, Stems & Grips",,,
,5051699075164,5051699075164,,,,Staff Stem - Silver,Ison,,,Gusset Components,,,,,"Handlebars, Stems & Grips",,,
,5051699024933,5051699024933,,,,Staff Stem - Black,Ison,,,Gusset Components,,,,,"Handlebars, Stems & Grips",,,
,5051699075171,5051699075171,,,,Staff Stem - Silver,Ison,,,Gusset Components,,,,,"Handlebars, Stems & Grips",,,
,5051699016600,5051699016600,,,,Staff Stem - Black,Ison,,,Gusset Components,,,,,"Handlebars, Stems & Grips",,,
,5051699016617,5051699016617,,,,Staff Stem - Black,Ison,,,Gusset Components,,,,,"Handlebars, Stems & Grips",,,
,5051699072606,5051699072606,,,,TS Stem - Black,Ison,,,Gusset Components,,,,,"Handlebars, Stems & Grips",,,
,5051699072613,5051699072613,,,,TS Stem - Silver,Ison,,,Gusset Components,,,,,"Handlebars, Stems & Grips",,,
,5051699072620,5051699072620,,,,TS Stem - MJ Signature Grey,Ison,,,Gusset Components,,,,,"Handlebars, Stems & Grips",,,
,5051699075096,5051699075096,,,,TS Stem - Black,Ison,,,Gusset Components,,,,,"Handlebars, Stems & Grips",,,
,5051699075102,5051699075102,,,,TS Stem - Silver,Ison,,,Gusset Components,,,,,"Handlebars, Stems & Grips",,,
,5051699075119,5051699075119,,,,TS Stem - MJ Signature Grey,Ison,,,Gusset Components,,,,,"Handlebars, Stems & Grips",,,
,5051699072637,5051699072637,,,,TS/S2 Stem Bolt Kit,Ison,,,Gusset Components,,,,,"Handlebars, Stems & Grips",,,
,5051699072644,5051699072644,,,,TS/S2 Stem Bolt Kit,Ison,,,Gusset Components,,,,,"Handlebars, Stems & Grips",,,
,5051699039470,5051699039470,,,,Hunter Crank Axle only,Ison,,,Gusset Components,,,,,Cranks & Chainrings,,,
,5051699001118,5051699001118,,,,Trident ISIS Bottom Bracket,Ison,,,Gusset Components,,,,,Bottom Brackets,,,
