SKU,StyleCode,Name,UPC,SRP,Colour,Size,BoxQuantity,ProductCategory,Brand,GoldPrice,Currency,Supplier
PMQ8741004,PMQ8741000,SRAM Crankset w/Power meter spider FORCE AXS 1x E1 DUB - Direct Mount 50T Aero (BB not included): BLACK 172.5MM,7.10846E+11,685,BLACK,172.5MM,,COMPONENT,Sram,399.9,GBP,Zyrofisher
PMQ8741005,PMQ8741000,SRAM Crankset w/Power meter spider FORCE AXS 1x E1 DUB - Direct Mount 50T Aero (BB not included): BLACK 175MM,7.10846E+11,685,BLACK,175MM,,COMPONENT,Sram,399.9,GBP,Zyrofisher
PMQ8743000,PMQ8743000,SRAM Crankset w/Power meter spindle RIVAL AXS 1x XPLR DUB WIDE E1 - Direct Mount 42T (BB not included):  160MM,7.10846E+11,290,NO COLOUR,160MM,,COMPONENT,Sram,171.66,GBP,Zyrofisher
PMQ8743001,PMQ8743000,SRAM Crankset w/Power meter spindle RIVAL AXS 1x XPLR DUB WIDE E1 - Direct Mount 42T (BB not included):  165MM,7.10846E+11,290,NO COLOUR,165MM,,COMPONENT,Sram,171.66,GBP,Zyrofisher
PMQ8743003,PMQ8743000,SRAM Crankset w/Power meter spindle RIVAL AXS 1x XPLR DUB WIDE E1 - Direct Mount 42T (BB not included):  170MM,7.10846E+11,290,NO COLOUR,170MM,,COMPONENT,Sram,171.66,GBP,Zyrofisher
PMQ8743004,PMQ8743000,SRAM Crankset w/Power meter spindle RIVAL AXS 1x XPLR DUB WIDE E1 - Direct Mount 42T (BB not included):  172.5MM,7.10846E+11,290,NO COLOUR,172.5MM,,COMPONENT,Sram,171.66,GBP,Zyrofisher
PMQ8743005,PMQ8743000,SRAM Crankset w/Power meter spindle RIVAL AXS 1x XPLR DUB WIDE E1 - Direct Mount 42T (BB not included):  175MM,7.10846E+11,290,NO COLOUR,175MM,,COMPONENT,Sram,171.66,GBP,Zyrofisher
PMQ8745006,PMQ8745006,SRAM Crankset w/Power meter spindle RIVAL AXS E1 DUB - Direct Mount (BB not included): 48-35T 160MM,7.10846E+11,340,48-35T,160MM,,COMPONENT,Sram,197.76,GBP,Zyrofisher
PMQ8745007,PMQ8745006,SRAM Crankset w/Power meter spindle RIVAL AXS E1 DUB - Direct Mount (BB not included): 48-35T 165MM,7.10846E+11,340,48-35T,165MM,,COMPONENT,Sram,197.76,GBP,Zyrofisher
PMQ8745009,PMQ8745006,SRAM Crankset w/Power meter spindle RIVAL AXS E1 DUB - Direct Mount (BB not included): 48-35T 170MM,7.10846E+11,340,48-35T,170MM,,COMPONENT,Sram,197.76,GBP,Zyrofisher
PMQ8745010,PMQ8745006,SRAM Crankset w/Power meter spindle RIVAL AXS E1 DUB - Direct Mount (BB not included): 48-35T 172.5MM,7.10846E+11,340,48-35T,172.5MM,,COMPONENT,Sram,197.76,GBP,Zyrofisher
PMQ8745011,PMQ8745006,SRAM Crankset w/Power meter spindle RIVAL AXS E1 DUB - Direct Mount (BB not included): 48-35T 175MM,7.10846E+11,340,48-35T,175MM,,COMPONENT,Sram,197.76,GBP,Zyrofisher
PMQ8745012,PMQ8745006,SRAM Crankset w/Power meter spindle RIVAL AXS E1 DUB - Direct Mount (BB not included): 46-33T 160MM,7.10846E+11,340,46-33T,160MM,,COMPONENT,Sram,197.76,GBP,Zyrofisher
PMQ8745013,PMQ8745006,SRAM Crankset w/Power meter spindle RIVAL AXS E1 DUB - Direct Mount (BB not included): 46-33T 165MM,7.10846E+11,340,46-33T,165MM,,COMPONENT,Sram,197.76,GBP,Zyrofisher
PMQ8745015,PMQ8745006,SRAM Crankset w/Power meter spindle RIVAL AXS E1 DUB - Direct Mount (BB not included): 46-33T 170MM,7.10846E+11,340,46-33T,170MM,,COMPONENT,Sram,197.76,GBP,Zyrofisher
PMQ8745016,PMQ8745006,SRAM Crankset w/Power meter spindle RIVAL AXS E1 DUB - Direct Mount (BB not included): 46-33T 172.5MM,7.10846E+11,340,46-33T,172.5MM,,COMPONENT,Sram,197.76,GBP,Zyrofisher
PMQ8745017,PMQ8745006,SRAM Crankset w/Power meter spindle RIVAL AXS E1 DUB - Direct Mount (BB not included): 46-33T 175MM,7.10846E+11,340,46-33T,175MM,,COMPONENT,Sram,197.76,GBP,Zyrofisher
PMQS8091000,PMQS8091000,"Quarq Colored Decals (Black, Grey, Red, Blue, Orange, Green & Yellow)- compatible with any Quarq Power meters produced after January 8, 2015 (revision ADX) 2019:  ",7.10846E+11,37,NO COLOUR,NO SIZE,,COMPONENT,Sram,20.07,GBP,Zyrofisher
PMQS8229000,PMQS8229000,Quarq Powermeter Spider Red/Force AXS D1 107BCD:  ,7.10846E+11,441,NO COLOUR,NO SIZE,,COMPONENT,Sram,257.33,GBP,Zyrofisher
PMQT003000,PMQT003000,Torx Tool T20 (includes 200mm T20 driver bit with t-handle and Qty 8 M4 Torx Spider Mounting bolts):  ,7.10846E+11,21,NO COLOUR,NO SIZE,,COMPONENT,Quarq,10.13,GBP,Zyrofisher
POSPANHEADER23,POSPANHEADER23,Panaracer Branded Header Board 2023: BLACK ONE SIZE,5.03495E+12,29.99,BLACK,ONE SIZE,,POS,Panaracer,12.5,GBP,Zyrofisher
POSSM000209,POSSM000209,Selle San Marco Branded 4 Saddle Desktop Podium:  ,,-1,NO COLOUR,NO SIZE,,POS,Selle San Marco,5,GBP,Zyrofisher
POSSRAHEADER23,POSSRAHEADER23,SRAM Branded Header Board 2023: BLACK ONE SIZE,5.03495E+12,-1,BLACK,ONE SIZE,,POS,Sram,25,GBP,Zyrofisher
POSSUPHEADER23,POSSUPHEADER23,Supacaz Branded Header Board 2023: BLACK ONE SIZE,5.03495E+12,-1,BLACK,ONE SIZE,,POS,Supacaz,25,GBP,Zyrofisher
POSZIPHEADER23,POSZIPHEADER23,Zipp Branded Header Board 2023: BLACK ONE SIZE,5.03495E+12,-1,BLACK,ONE SIZE,,POS,Zipp,25,GBP,Zyrofisher
PS004315021010,PS004315021010,RockShox Headset Spacer Set UD Carbon RockShox - (5mm x 2 10mm x 1 15mm x 1):  ,7.10846E+11,21,NO COLOUR,NO SIZE,,Suspension,RockShox,9.1,GBP,Zyrofisher
PS10WT,PS10WT,RockShox Suspension Oil 10wt 32oz 1 Liter Bottle:  ,7.10846E+11,26,NO COLOUR,NO SIZE,,Lubes & Grease,RockShox,12.19,GBP,Zyrofisher
PS15354050,PS15354050,Rockshox Suspension Oil 0-W30 1 Litre Bottle:  ,7.10846E+11,37,NO COLOUR,NO SIZE,,Lubes & Grease,RockShox,17.29,GBP,Zyrofisher
PS15WT,PS15WT,RockShox Suspension Oil 15wt 32oz 1 Liter Bottle:  ,7.10846E+11,26,NO COLOUR,NO SIZE,,Lubes & Grease,RockShox,12.19,GBP,Zyrofisher
PS18045001,PS18045001,RockShox Spring Compressor Tool Counter Measure - RockShox Vivid/Vivid Air:  ,7.10846E+11,97,NO COLOUR,NO SIZE,,Tools,RockShox,48.84,GBP,Zyrofisher
PS2.5WTT,PS2.5WTT,"RockShox - RockShox Suspension Oil, 2.5Wt, 1 Liter Bottle :  ",7.10846E+11,26,NO COLOUR,NO SIZE,,Lubes & Grease,RockShox,12.19,GBP,Zyrofisher
PS4315014010,PS4315014010,RockShox Grease PM600 Military Grease 14.5oz (428.8 ml):  ,7.10846E+11,25,NO COLOUR,NO SIZE,,Lubes & Grease,RockShox,14.19,GBP,Zyrofisher
PS4315020010,PS4315020010,RockShox Cable/Hose Line Guide Black - Qty 2:  ,7.10846E+11,8,NO COLOUR,NO SIZE,,Suspension,RockShox,3.54,GBP,Zyrofisher
PS4315021010,PS4315021010,RockShox Suspension Oil 2.5wt 120ml Bottle new:  ,7.10846E+11,5,NO COLOUR,NO SIZE,,Lubes & Grease,RockShox,2.73,GBP,Zyrofisher
PS4315021020,PS4315021020,RockShox Suspension Oil 5wt 120ml Bottle new:  ,7.10846E+11,5,NO COLOUR,NO SIZE,,Lubes & Grease,RockShox,2.73,GBP,Zyrofisher
PS4315021030,PS4315021030,RockShox Suspension Oil 10wt 120ml Bottle new:  ,7.10846E+11,5,NO COLOUR,NO SIZE,,Lubes & Grease,RockShox,2.73,GBP,Zyrofisher
PS4315021040,PS4315021040,RockShox Suspension Oil 15wt 120ml Bottle new:  ,7.10846E+11,5,NO COLOUR,NO SIZE,,Lubes & Grease,RockShox,2.73,GBP,Zyrofisher
PS4315021050,PS4315021050,RockShox Suspension Oil 3wt 120ml bottle:  ,7.10846E+11,5,NO COLOUR,NO SIZE,,Lubes & Grease,RockShox,2.73,GBP,Zyrofisher
PS4315021060,PS4315021060,RockShox Rear Suspension Damping Fluid 7wt 120ml bottle:  ,7.10846E+11,5,NO COLOUR,NO SIZE,,Lubes & Grease,RockShox,2.73,GBP,Zyrofisher
